Word,Count
*,109
the,58
,30
to,19
is,18
hand,17
of,15
if,12
@return,12
and,10
a,10
card,10
that,9
not,8
deck,8
current,7
@param,7
@author,7
in,6
game,6
be,6
constructor,5
Eagy,5
class,5
Daniel,5
an,5
true,4
1.0,4
false,4
cards,4
player,4
Checks,4
@version,4
all,4
added,3
This,3
The,3
value,3
this,3
being,3
or,3
used,3
Adds,3
primary,2
for,2
Not,2
adds,2
sets,2
playerOrDealer,2
up,2
decks,2
It,2
\player,\,2
remaining,2
number,2
result,2
one,2
soft,2
as,2
Returns,2
frame,2
Deals,2
Iterator<Card>,2
21,1
greater,1
ArrayList<Card>,1
main,1
buttons,1
would,1
currently,1
\soft,\,1
recalculates,1
on,1
which,1
blackjack,1
iterator,1
\empty,\,1
players,1
player's,1
multiple,1
\busted,\,1
Private,1
\window,\,1
at,1
size,1
Automatically,1
GUI,1
dealers,1
values,1
change,1
\(softHand()),\,1
\Playboardd,\,1
\hit,\,1
their,1
total,1
moment,1
additional,1
play,1
Calls,1
end,1
inside,1
funcionality,1
removed,1
Default,1
\buttons,\,1
needs,1
has,1
Playboard,1
OTR2,1
another,1
establishes,1
other,1
implemented,1
(has,1
dealt,1
Ace,1
also,1
empty,1
string,1
JFrame,1
add,1
secondary,1
copy,1
new,1
single,1
copied,1
Shuffles,1
constructor;,1
tested,1
with,1
checked,1
construction,1
represents,1
in),1
established,1
attributes,1
theCard,1
by,1
bust,1
\size,\,1
left,1
strictly,1
\dealer,\,1
faceValue,1
initials,1
its,1
\blackjack,\,1
deal,1
whether,1
Removes,1
eagy,1
A,1
use;,1
only,1
instance,1
\again,\,1
does,1
daniel,1
listeners,1
initializes,1
functionality,1
from,1
@deprecated,1
dealer,1
order,1
use,1
creates,1
numDecks,1
set,1
0,1
final,1
\stand,\,1
application,1
was,1
contents,1
enable,1
